id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
a669f395d2f941a9d4c25f85e2673ea8,szczecin,blockOfFlats,57.1,2.0,,3.0,2022.0,53.3693894,14.6682699,9.31,5.0,0.255,1.3,0.493,0.625,0.392,,0.186,condominium,brick,,no,no,yes,no,no,615000
8373aa373dbc3fe7ca3b7434166b8766,szczecin,tenement,73.02,3.0,2.0,3.0,,53.45222222,14.55333333,3.24,9.0,0.275,0.672,0.367,0.246,0.3,1.857,0.28,condominium,brick,,no,no,no,no,no,650000
42758bc1fd0885a6221965f2c96da033,szczecin,tenement,48.84,2.0,2.0,3.0,1950.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,brick,low,no,yes,no,no,no,389000
a6b22917f9f4477aca6358d4aa5c3cac,szczecin,blockOfFlats,78.0,3.0,2.0,4.0,2000.0,53.3682304547167,14.6475264787771,8.4,7.0,0.587,0.389,0.565,0.763,0.374,,0.296,cooperative,brick,,no,yes,no,no,yes,750000
9fae2204bddc6e553c5e0f0d4d569abd,szczecin,apartmentBuilding,77.91,3.0,,3.0,2019.0,53.427312,14.549056,0.9,78.0,0.474,0.034,0.138,0.363,0.067,0.436,0.111,condominium,brick,premium,yes,yes,yes,yes,yes,810000
6d8910234b1d447888657b1c7da31cca,szczecin,blockOfFlats,58.0,3.0,3.0,3.0,2006.0,53.4658691268942,14.5395155252812,4.93,8.0,0.048,1.32,0.115,0.176,0.182,2.602,0.375,condominium,,premium,no,yes,no,no,no,679000
2ee4c3c202ba72a65581f019a592bc92,szczecin,apartmentBuilding,75.0,3.0,4.0,4.0,1999.0,53.427312,14.549056,0.9,78.0,0.474,0.034,0.138,0.363,0.067,0.436,0.111,cooperative,brick,premium,yes,yes,no,yes,yes,890000
3eaa36a59b9354206703b5f6b2f2ff1d,szczecin,blockOfFlats,42.0,2.0,1.0,3.0,,53.46805556,14.53833333,5.19,9.0,0.209,1.533,0.201,0.319,0.157,2.722,0.257,condominium,,,no,yes,no,no,no,584999
7d0c31d5409caab173571cce3dcdf702,szczecin,blockOfFlats,68.61,3.0,4.0,4.0,1997.0,53.4562131879767,14.5832223504052,3.94,7.0,0.139,1.336,0.926,0.93,0.071,0.786,0.304,condominium,brick,,no,yes,no,no,yes,590000
c09178e9998bb2a45f33876f0d108e7f,szczecin,tenement,55.3,2.0,,4.0,1920.0,53.43113,14.56423,0.89,17.0,0.236,0.749,0.077,0.075,0.219,0.261,0.629,condominium,brick,,no,no,no,yes,yes,445000
1deea3ea4c2760c5f511bb9703312a78,szczecin,apartmentBuilding,48.77,2.0,5.0,7.0,2019.0,53.44746377,14.55778212,2.68,10.0,0.267,0.772,0.677,0.26,0.32,1.642,0.177,condominium,brick,premium,yes,yes,yes,no,yes,699000
b4581dfeed8052716c41d62f39bb9705,szczecin,blockOfFlats,61.31,3.0,3.0,3.0,2020.0,53.46264702,14.54467964,4.5,4.0,0.534,1.177,0.384,0.437,0.226,2.236,0.189,condominium,brick,premium,yes,no,yes,no,no,650000
76affd52069119ac305ee74b21b4aed7,szczecin,blockOfFlats,56.58,2.0,4.0,5.0,2019.0,53.43911265,14.49004444,5.01,7.0,0.65,1.122,0.248,0.316,0.221,2.711,0.258,condominium,brick,premium,yes,yes,yes,no,no,580000
f064b7efdd87696a6d5a874b370b999d,szczecin,blockOfFlats,59.5,3.0,4.0,8.0,1975.0,53.43015063,14.50387573,3.86,9.0,0.24,1.001,0.294,0.387,0.207,1.973,0.323,cooperative,concreteSlab,premium,no,yes,yes,no,yes,599000
