id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
2a1a6db97ff122d6bc148abb6f0e498a,szczecin,blockOfFlats,52.0,2.0,3.0,3.0,2008.0,53.4605350947556,14.5454160213269,4.26,2.0,0.753,1.049,0.595,0.674,0.229,2.2,0.307,condominium,brick,,yes,yes,no,no,no,3500
368e16142922433c709e6921a3b8f2a8,szczecin,blockOfFlats,70.0,3.0,7.0,11.0,1985.0,53.3784846,14.6570885,8.1,21.0,0.3,0.111,0.317,0.071,0.068,,0.086,condominium,concreteSlab,premium,no,yes,yes,no,no,2900
655acd54eb518a718fd1f59fd7161c61,szczecin,blockOfFlats,43.0,2.0,3.0,3.0,1960.0,53.4259458,14.5594895,0.3,68.0,0.072,0.73,0.589,0.114,0.016,0.405,0.338,condominium,concreteSlab,premium,no,yes,no,no,yes,2900
99f85bbc55d110aa5a79ad4c7d5a0562,szczecin,blockOfFlats,46.7,2.0,1.0,4.0,1980.0,53.4469902,14.5568514,2.64,14.0,0.196,0.715,0.744,0.248,0.258,1.562,0.096,condominium,concreteSlab,premium,no,no,no,no,yes,2400
601b83a79fb6b89fe8e488bfcdd5e872,szczecin,,56.2,3.0,1.0,4.0,,53.4411,14.5491,2.12,24.0,0.126,0.223,0.148,0.215,0.367,0.732,0.05,condominium,,,no,no,,no,no,3000
a6947320455a7f8afd2d53497a5b47e9,szczecin,blockOfFlats,70.0,3.0,1.0,2.0,2000.0,53.4421883,14.486052,5.38,6.0,0.855,1.33,0.27,0.385,0.082,2.961,0.273,condominium,brick,,yes,no,no,no,no,3200
ca7c8be77d6ee03aab89cdecf4ee4b43,szczecin,blockOfFlats,28.16,1.0,2.0,3.0,2022.0,53.417,14.5358,1.81,10.0,0.332,0.443,0.268,0.376,0.315,0.42,0.503,condominium,,,yes,yes,yes,no,no,1980
aae4994ab375e107dcc375f3360bd3d9,szczecin,tenement,32.0,1.0,2.0,4.0,1930.0,53.4348359,14.5488644,1.5,51.0,0.101,0.107,0.154,0.159,0.048,0.537,0.271,condominium,brick,premium,no,no,,no,no,1500
b83458393eb79b3ecdb13de56a6e2676,szczecin,blockOfFlats,76.38,3.0,1.0,1.0,1954.0,53.4354779,14.51203896,3.51,11.0,0.367,0.85,0.408,0.122,0.416,1.272,0.278,condominium,brick,premium,yes,no,no,no,no,3300
755bcd527418bdc97e6fb6b4e68a81bb,szczecin,apartmentBuilding,60.0,3.0,4.0,4.0,2021.0,53.3937316,14.4928161,5.59,2.0,2.057,2.926,0.377,2.107,0.403,3.877,0.522,condominium,brick,premium,no,no,yes,no,no,3250
ab06154f64ec670ea2e55c5ac41b2bc7,szczecin,apartmentBuilding,60.85,3.0,10.0,27.0,2021.0,53.4368668,14.5530096,1.59,35.0,0.194,0.237,0.181,0.165,0.099,0.781,0.231,condominium,brick,premium,no,no,yes,no,no,4500
1764b4281ff2b4d93066695d4d0bef64,szczecin,blockOfFlats,63.31,3.0,1.0,5.0,1988.0,53.4376498,14.573637,1.79,14.0,0.17,1.251,0.055,0.41,0.258,1.217,0.187,condominium,concreteSlab,premium,yes,yes,no,no,yes,2800
ffcc61d671b9c9f88c0b100776a39210,szczecin,apartmentBuilding,36.0,2.0,5.0,7.0,2022.0,53.4215,14.542,1.27,16.0,0.075,0.537,0.252,0.466,0.166,0.713,0.222,condominium,brick,,yes,yes,yes,yes,no,2400
39743e6f19d0f072a4851347f8eae45f,szczecin,tenement,58.39,3.0,1.0,4.0,1905.0,53.42982799,14.56251606,0.72,29.0,0.059,0.768,0.255,0.147,0.178,0.078,0.534,condominium,brick,premium,no,yes,no,no,no,3400
1b5916d3410911cb07b458486bca20c4,szczecin,blockOfFlats,33.0,2.0,3.0,4.0,1970.0,53.4218430194894,14.5170310968587,2.92,6.0,0.116,0.924,1.087,0.871,0.856,0.991,0.098,condominium,,,no,yes,no,no,no,2100
c36f200b5dc137e5b7d97644bee843dc,szczecin,blockOfFlats,27.0,1.0,1.0,3.0,2017.0,53.4014513,14.5071442,4.32,1.0,1.083,1.672,0.721,0.921,0.388,2.609,0.538,condominium,,premium,yes,yes,no,no,no,2050
0657db68a23a5e7d37b325fbefb9a555,szczecin,blockOfFlats,28.3,1.0,7.0,9.0,1970.0,53.43802165,14.57373251,1.83,13.0,0.17,1.267,0.078,0.376,0.278,1.253,0.17,condominium,concreteSlab,premium,yes,yes,yes,no,no,2000
4b9a39020ddc3483e8143551be7870d1,szczecin,blockOfFlats,65.6,3.0,2.0,3.0,2008.0,53.3670701,14.6625085,9.2,9.0,0.325,1.327,0.11,0.266,0.195,,0.096,condominium,brick,premium,no,yes,no,no,no,3500
22b80e9b0581ec6af21f94a33f5ad7ac,szczecin,tenement,65.0,2.0,2.0,4.0,1930.0,53.432858,14.532781,2.14,28.0,0.216,0.443,0.156,0.355,0.022,0.531,0.157,condominium,brick,premium,no,yes,no,no,no,2900
d52bf2c4c3f7cb1230768602d8aa33ec,szczecin,blockOfFlats,39.0,2.0,4.0,4.0,2020.0,53.39382426,14.4842876,6.05,0.0,1.965,3.407,0.768,1.894,0.738,4.266,0.912,condominium,,premium,no,no,yes,no,no,2700
36a9c75608e63ab49ea1d76ad26cb5d9,szczecin,blockOfFlats,47.0,2.0,2.0,3.0,2011.0,53.457778,14.5825,4.08,7.0,0.088,1.201,0.882,0.755,0.247,0.608,0.13,condominium,brick,premium,yes,yes,yes,no,no,2700
a7a0ffcf24f2c63f37367f81656f77a8,szczecin,,57.6,3.0,6.0,6.0,,53.4354007,14.5286061,2.53,20.0,0.112,0.518,0.468,0.162,0.189,0.29,0.201,condominium,,,no,yes,yes,no,no,3900
03427ab245b131c10437b49ccc311e3e,szczecin,apartmentBuilding,28.0,1.0,7.0,7.0,2020.0,53.4368668,14.5530096,1.59,35.0,0.194,0.237,0.181,0.165,0.099,0.781,0.231,condominium,brick,premium,no,no,yes,no,no,2500
4f5b66bf1c68f7f1f82d9208636c8334,szczecin,blockOfFlats,27.12,1.0,4.0,5.0,1980.0,53.4367354,14.5687774,1.57,17.0,0.204,0.915,0.283,0.249,0.018,0.947,0.033,condominium,concreteSlab,premium,no,no,yes,no,no,2000
7301dd560af144f42ac582ee02fa5618,szczecin,blockOfFlats,65.0,3.0,1.0,1.0,1980.0,53.4630898,14.570361,4.46,4.0,0.226,1.149,0.702,0.419,1.062,0.538,0.873,condominium,brick,premium,yes,no,no,no,no,3000
3eee5c2d9a8dd7526d0e695db3bed4c4,szczecin,apartmentBuilding,45.0,2.0,,6.0,2021.0,53.4250745,14.5619367,0.2,53.0,0.136,0.881,0.619,0.14,0.069,0.476,0.503,condominium,brick,premium,no,no,yes,no,no,2800
